               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.8318,              4.3632,              4.9645,              0.7367,             0.62685,              0.7078,             0.32845,                   0,                   0,                   0,            0.070015,           0.0033317,           0.0033317
                   1,               2.594,              2.1813,              3.4361,             0.95204,             0.89635,             0.96686,             0.70568,                   0,                   0,                   0,            0.039883,           0.0065331,           0.0065331
                   2,              1.7556,              1.3973,              2.4453,             0.98559,             0.94503,             0.98032,             0.75257,                   0,                   0,                   0,           0.0096189,           0.0096024,           0.0096024
                   3,              1.4746,              1.1265,              2.1282,             0.98113,             0.95755,             0.99082,             0.80796,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              1.3239,             0.98448,              1.9851,             0.98446,             0.96742,             0.98814,             0.82314,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              1.2543,             0.90323,              1.9045,             0.97865,             0.97927,             0.99109,             0.82596,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              1.1944,             0.86174,              1.8543,             0.98407,             0.97576,             0.99385,             0.82144,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              1.1434,             0.81217,              1.8078,             0.98145,             0.97927,             0.99312,             0.84031,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,               1.122,             0.78569,              1.7846,             0.99395,             0.97231,             0.99235,             0.84596,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              1.0986,               0.764,              1.7636,             0.99597,             0.97645,             0.99456,             0.85279,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              1.0744,              0.7425,               1.737,             0.99679,             0.97038,             0.99351,             0.85067,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              1.0603,             0.72777,              1.7257,             0.99105,             0.98419,             0.99444,             0.85364,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              1.0468,             0.71108,              1.7055,             0.99352,             0.97927,             0.99442,             0.85272,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              1.0331,             0.70127,              1.7001,             0.98901,             0.98026,             0.99427,             0.86564,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,              1.0304,             0.69653,              1.6998,             0.98899,             0.98519,             0.99438,              0.8587,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              1.0116,             0.68252,              1.6758,             0.99255,             0.98124,             0.99461,             0.86182,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,              1.0008,             0.66668,              1.6718,             0.99218,             0.98223,             0.99443,             0.86511,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.98904,             0.65429,                1.66,             0.98814,             0.98687,             0.99443,             0.85463,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.98774,             0.65498,              1.6623,             0.98849,             0.98914,             0.99464,             0.86595,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.97853,             0.64627,              1.6454,             0.99105,             0.98338,             0.99469,             0.86672,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.97215,             0.64476,              1.6409,             0.99007,             0.98441,             0.99438,             0.86807,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.96735,             0.62898,              1.6337,             0.99011,             0.98809,             0.99473,              0.8732,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.95155,             0.62472,              1.6233,             0.99229,             0.98815,             0.99455,              0.8713,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.94456,             0.61409,              1.6167,             0.99403,             0.98594,             0.99471,              0.8696,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.95099,              0.6172,               1.629,             0.98797,             0.99013,             0.99471,             0.87145,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.93926,             0.61002,              1.6115,             0.99501,             0.98404,             0.99442,             0.87123,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.92957,             0.59708,               1.607,             0.99302,             0.98519,             0.99456,             0.87615,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
